Data Width,WNS,Fmax(MHz)
4,0.852,109.31351114997814
6,0.391,104.06910188365075
8,0.211,102.15548064153643
10,0.159,101.615689462453
12,0.426,104.44955086693128
14,0.28,102.88065843621399
16,0.345,103.57327809425169
18,0.312,103.22047894302229
20,-0.312,96.9743987587277
22,-0.127,98.74592673052236
24,0.168,101.7087062652563
26,-2.444,80.36001285760206
28,-2.912,77.44733581164809
30,-3.619,73.42683016374183
32,-3.807,72.42702976750924
